...1,...2,ENV_RNC_SUPERVISADO,ENV_FECHA_ENVIO,OPERACION,FECHA_TRANSACCION,DATE_LIQUIDACION,DATE_LIQUIDACION_REAL,RNC_EMISOR,ISIN,SERIE,CODIGO_SIV,EMISION,VENCIMIENTO,MONEDA,MERCADO,NEGOCIACION,TIPO_OPERACION,SUB_OPERACION,TASA_INT_EMISION,UNIDAD_VALOR,VALOR_NOMINAL,CANT_VALOR_NOMINAL,PRECIO_LIMPIO,PRECIO_SUCIO,IMPORTE_BRUTO_LIQ,VALOR_TRANSADO,DEP_VENDEDOR,DEP_COMPRADOR,PARTE_OPERATION,ESTADO_OPERACION,EMISOR
11,11,130034788,18-05-2018,526666,17-04-2018,18-05-2018,18-05-2018,401007551,DO1002235823,CI130718,SIVEMBC-065,13-07-2011,13-07-2018,DOP,SECUNDARIO,EXTRABURSATIL,OTC,VENTA FOWARD RF,15.5,25,10000,250000,101.02,10633.32,265833.03,265833.03,PARVA,PARVA,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
13,13,130034788,18-05-2018,526673,17-04-2018,18-05-2018,18-05-2018,101567147,DO2006803327,BC5PAR06,SIVEM102,22-05-2017,22-05-2021,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,10.15,61494,1,61494,99.99,99.7,64337.5,64337.5,UNICA,UNICA,PLAZO,LIQUIDADA PLAZO,"PARALLAX VALORES PUESTO DE BOLSA, S.A."
14,14,130034788,18-05-2018,526675,17-04-2018,18-05-2018,18-05-2018,401007551,DO1002216112,CI030223,SIVEMBC226,3/2/2016,3/2/2023,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,11,920,10000,9200000,106.65,106.45,10084235.64,10084235.64,UNICA,UNICA,PLAZO,LIQUIDADA PLAZO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
15,15,130034788,18-05-2018,526677,17-04-2018,18-05-2018,18-05-2018,401007551,DO1002216112,CI030223,SIVEMBC226,3/2/2016,3/2/2023,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,11,921,10000,9210000,106.65,106.45,10095196.76,10095196.76,UNICA,UNICA,PLAZO,LIQUIDADA PLAZO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
16,16,130034788,18-05-2018,526681,17-04-2018,18-05-2018,18-05-2018,101567147,DO2006803327,BC5PAR06,SIVEM102,22-05-2017,22-05-2021,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,10.15,387080,1,387080,99.99,99.88,405657.44,405657.44,UNICA,UNICA,PLAZO,LIQUIDADA PLAZO,"PARALLAX VALORES PUESTO DE BOLSA, S.A."
17,17,130034788,18-05-2018,526708,17-04-2018,18-05-2018,18-05-2018,401007551,DO1002237027,CI051018,SIVEMBC-074,5/10/2011,5/10/2018,DOP,SECUNDARIO,EXTRABURSATIL,OTC,VENTA FOWARD RF,15.5,4,10000,40000,102.77,10459.43,41837.72,41837.72,PARVA,PARVA,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
18,18,130034788,1/5/2018,532597,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,104,100000,10400000,98.59,102581.21,10668446.15,10668446.15,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
19,19,130034788,1/5/2018,532599,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,13,100000,1300000,99.11,103100.83,1340310.77,1340310.77,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
20,20,130034788,1/5/2018,532601,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,4,100000,400000,118.77,122767.09,491068.35,491068.35,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
21,21,130034788,1/5/2018,532603,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,10,100000,1000000,99.09,103083.76,1030837.6,1030837.6,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
22,22,130034788,1/5/2018,532605,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,17,100000,1700000,101.85,105840.05,1799280.82,1799280.82,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
23,23,130034788,1/5/2018,532607,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,1,100000,100000,118.6,122589.18,122589.18,122589.18,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
24,24,130034788,1/5/2018,532609,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,345,100000,34500000,107.97,111963.44,38627387.16,38627387.16,INRES,INRES,CONTADO,LIQUIDADA PLAZO,MINISTERIO DE HACIENDA
25,25,130034788,1/5/2018,532611,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,2,100000,200000,85.88,89878.23,179756.45,179756.45,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
26,26,130034788,1/5/2018,532613,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,2,100000,200000,98.21,102206.94,204413.87,204413.87,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
27,27,130034788,1/5/2018,532615,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,5,100000,500000,98.53,102522.03,512610.16,512610.16,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
28,28,130034788,1/5/2018,532831,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005244525,CDEEE23,SIVEMGC-101,31-07-2012,31-07-2023,USD,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,7,8,1000,8000,121.58,1233.05,9864.38,9864.38,CCI,CCI,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
29,29,130034788,1/5/2018,532834,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005244525,CDEEE23,SIVEMGC-101,31-07-2012,31-07-2023,USD,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,7,2,1000,2000,102.83,1045.53,2091.05,2091.05,CCI,CCI,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
30,30,130034788,1/5/2018,532837,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005244525,CDEEE23,SIVEMGC-101,31-07-2012,31-07-2023,USD,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,7,10,1000,10000,118.78,1205.07,12050.72,12050.72,CCI,CCI,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
31,31,130034788,9/1/2019,582694,9/7/2018,9/1/2019,9/1/2019,401007322,DO1005204719,MH22022,SIVEMGC200,4/3/2015,4/3/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,VENTA FOWARD RF,10.375,16,100000,1600000,112.02,115625,1850000,1850000,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
32,32,130034788,1/5/2018,532840,1/5/2018,1/5/2018,1/5/2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,0,11,10000,110000,90.91,9090.91,100000,100000,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
33,33,130034788,1/5/2018,532843,1/5/2018,1/5/2018,1/5/2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,0,14,10000,140000,94.51,9451.15,132316.11,132316.11,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
34,34,130034788,1/5/2018,532846,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005244525,CDEEE23,SIVEMGC-101,31-07-2012,31-07-2023,USD,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,7,16,1000,16000,116.1,1178.25,18851.95,18851.95,CCI,CCI,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
35,35,130034788,1/5/2018,532849,1/5/2018,1/5/2018,1/5/2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,0,62,10000,620000,94.8,9480.29,587778.26,587778.26,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
36,36,130034788,1/5/2018,532852,1/5/2018,1/5/2018,1/5/2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,0,100,10000,1000000,95,9500,950000,950000,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
37,37,130034788,1/5/2018,532825,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005205617,MH12027,SIVEMGC224,5/8/2016,5/2/2027,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,11.25,412,100000,41200000,116.57,119190.35,49106423.49,49106423.49,TIVALSA,TIVALSA,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
38,38,130034788,1/5/2018,532855,1/5/2018,1/5/2018,1/5/2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,0,8,10000,80000,90.02,9002.27,72018.16,72018.16,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
39,39,130034788,1/5/2018,532858,1/5/2018,1/5/2018,1/5/2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,0,914,10000,9140000,95.01,9501.39,8684266.52,8684266.52,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
40,40,130034788,18-05-2018,542549,18-05-2018,18-05-2018,18-05-2018,401007322,DO1005204115,MH22019,SIVEMGC185,10/5/2014,10/5/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,10.4,6,100000,600000,99.77,100000,600000,600000,ALPHA,ALPHA,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
41,41,130034788,18-05-2018,542550,18-05-2018,18-05-2018,18-05-2018,401007322,DO1005205112,MH22026,SIVEMGC224,14-01-2016,14-01-2026,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,10.875,5,100000,500000,115.36,119059.06,595295.29,595295.29,ALPHA,ALPHA,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
42,42,130034788,18-05-2018,542552,18-05-2018,18-05-2018,18-05-2018,401007322,DO1005205112,MH22026,SIVEMGC224,14-01-2016,14-01-2026,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,10.875,10,100000,1000000,111.31,115000,1150000,1150000,ALPHA,ALPHA,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
43,43,130034788,18-05-2018,542554,18-05-2018,18-05-2018,18-05-2018,401007322,DO1005205112,MH22026,SIVEMGC224,14-01-2016,14-01-2026,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,10.875,28,100000,2800000,108.21,111903.23,3133290.52,3133290.52,ALPHA,ALPHA,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
44,44,130034788,18-05-2018,542602,18-05-2018,18-05-2018,18-05-2018,401007322,DO1005204412,MH12029,SIVEMGC186,6/7/2014,6/7/2029,DOP,SECUNDARIO,EXTRABURSATIL,MHRD,CONTADO RF,11.375,4280,100000,428000000,110.48,114593.8,490461458.1,490461458.1,BRESERVA,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
45,45,130034788,18-05-2018,542603,18-05-2018,18-05-2018,18-05-2018,401007322,DO1005204412,MH12029,SIVEMGC186,6/7/2014,6/7/2029,DOP,SECUNDARIO,EXTRABURSATIL,MHRD,CONTADO RF,11.375,1430,100000,143000000,110.51,114623.8,163912032,163912032,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
46,46,130034788,18-05-2018,542604,18-05-2018,18-05-2018,18-05-2018,401007322,DO1005204412,MH12029,SIVEMGC186,6/7/2014,6/7/2029,DOP,SECUNDARIO,EXTRABURSATIL,MHRD,CONTADO RF,11.375,1430,100000,143000000,110.51,114623.8,163912032,163912032,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
47,47,130034788,18-05-2018,542605,18-05-2018,18-05-2018,18-05-2018,401007322,DO1005204412,MH12029,SIVEMGC186,6/7/2014,6/7/2029,DOP,SECUNDARIO,EXTRABURSATIL,MHRD,CONTADO RF,11.375,1420,100000,142000000,110.51,114623.8,162765794.1,162765794.1,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
48,48,130034788,18-05-2018,542606,18-05-2018,18-05-2018,18-05-2018,401007322,USP3579EAH01,BSRD2021,SIVEMGC-068,6/5/2010,6/5/2021,USD,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,7.5,21,1000,21000,109.4,1096.45,23025.53,23025.53,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
49,49,130034788,18-05-2018,542556,18-05-2018,18-05-2018,18-05-2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,0,42,10000,420000,95.24,9523.81,400000,400000,EXCEL,EXCEL,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
50,50,130034788,18-05-2018,542566,18-05-2018,18-05-2018,18-05-2018,401007551,DO1002213820,NO200122,SIVEMBC197,20-01-2015,20-01-2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,12,5000,10000,50000000,109.21,11308.63,56543128.48,56543128.48,BCITI,PARVA,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
51,51,130034788,18-05-2018,526762,17-04-2018,18-05-2018,18-05-2018,101567147,DO2006803327,BC5PAR06,SIVEM102,22-05-2017,22-05-2021,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,10.15,325085,1,325085,99.99,99.88,340687.07,340687.07,UNICA,UNICA,PLAZO,LIQUIDADA PLAZO,"PARALLAX VALORES PUESTO DE BOLSA, S.A."
52,52,130034788,18-05-2018,526784,17-04-2018,18-05-2018,18-05-2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,VENTA FOWARD RF,0,106,10000,1060000,94.99,9498.71,1006863.01,1006863.01,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
53,53,130034788,18-05-2018,526810,17-04-2018,18-05-2018,18-05-2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,VENTA FOWARD RF,0,1067,10000,10670000,95.42,9541.51,10180791.48,10180791.48,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
54,54,130034788,18-05-2018,526831,17-04-2018,18-05-2018,18-05-2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,VENTA FOWARD RF,0,306,10000,3060000,95.42,9542.17,2919902.74,2919902.74,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
55,55,130034788,18-05-2018,526836,17-04-2018,18-05-2018,18-05-2018,401007551,DO1002218324,LE040119,SIVEMBC255,4/1/2018,4/1/2019,DOP,SECUNDARIO,EXTRABURSATIL,OTC,VENTA FOWARD RF,0,467,10000,4670000,95.52,9551.7,4460642.72,4460642.72,CCI,CCI,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
56,56,130034788,18-05-2018,526884,18-04-2018,18-05-2018,18-05-2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,2,100000,200000,116.61,115.52,240605.59,240605.59,INRES,INRES,PLAZO,LIQUIDADA PLAZO,MINISTERIO DE HACIENDA
57,57,130034788,18-05-2018,526886,18-04-2018,18-05-2018,18-05-2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,3,100000,300000,129.94,129.1,401640.55,401640.55,INRES,INRES,PLAZO,LIQUIDADA PLAZO,MINISTERIO DE HACIENDA
58,58,130034788,1/5/2018,532617,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,7,100000,700000,102.38,106373.2,744612.37,744612.37,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
59,59,130034788,1/5/2018,532619,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,1,100000,100000,147.13,151126.36,151126.36,151126.36,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
60,60,130034788,1/5/2018,532621,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,15,100000,1500000,97.34,101336.38,1520045.73,1520045.73,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
61,61,130034788,1/5/2018,532623,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,104,100000,10400000,97.64,101631.15,10569639.37,10569639.37,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
62,62,130034788,1/5/2018,532625,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,7,100000,700000,112.02,116016.87,812118.08,812118.08,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
63,63,130034788,1/5/2018,532627,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,10,100000,1000000,99.12,103110.65,1031106.49,1031106.49,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
64,64,130034788,1/5/2018,532629,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,2,100000,200000,98.15,102146.11,204292.22,204292.22,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
65,65,130034788,1/5/2018,532631,1/5/2018,1/5/2018,1/5/2018,401007551,DO1002232622,CI010618,SIVEMBC-059,1/6/2011,1/6/2018,DOP,SECUNDARIO,EXTRABURSATIL,OTC,CONTADO RF,15.5,6,10000,60000,100.58,10698.96,64193.76,64193.76,INRES,INRES,CONTADO,LIQUIDADA CONTADO,BANCO CENTRAL DE LA REPUBLICA DOMINICANA
66,66,130034788,1/5/2018,532632,1/5/2018,1/5/2018,1/5/2018,401007322,DO1005241125,MH12022,SIVEMGC-085,4/2/2012,4/2/2022,DOP,SECUNDARIO,EXTRABURSATIL,OTC,OPERACION ESTRUCTURADA 3 RF,16.95,5,100000,500000,98.59,102585.98,512929.92,512929.92,INRES,INRES,CONTADO,LIQUIDADA CONTADO,MINISTERIO DE HACIENDA
